iter	Passed	Remaining
0	149	149112
1	150	74975
2	151	50208
3	151	37802
4	152	30368
5	153	25401
6	154	21858
7	154	19210
8	155	17146
9	156	15499
10	157	14139
11	157	13003
12	158	12046
13	159	11224
14	160	10515
15	160	9895
16	161	9348
17	162	8870
18	163	8440
19	164	8044
20	165	7696
21	165	7375
22	166	7081
23	167	6812
24	168	6559
25	168	6330
26	169	6115
27	170	5914
28	171	5725
29	171	5549
30	172	5385
31	172	5232
32	173	5090
33	174	4955
34	175	4827
35	175	4708
36	176	4598
37	177	4496
38	178	4396
39	179	4299
40	179	4207
41	180	4120
42	181	4036
43	182	3955
44	182	3880
45	183	3807
46	184	3736
47	185	3670
48	185	3605
49	186	3543
50	187	3483
51	187	3426
52	188	3371
53	189	3319
54	190	3268
55	190	3219
56	191	3173
57	192	3130
58	193	3085
59	194	3042
60	194	2999
61	195	2959
62	196	2919
63	197	2882
64	197	2845
65	198	2810
66	199	2775
67	200	2742
68	200	2709
69	201	2678
70	202	2646
71	202	2616
72	203	2586
73	204	2558
74	205	2530
75	205	2502
76	206	2476
77	207	2452
78	208	2428
79	209	2404
80	209	2379
81	210	2356
82	210	2329
83	211	2307
84	212	2285
85	213	2265
86	213	2244
87	214	2223
88	215	2203
89	215	2183
90	216	2163
91	217	2144
92	218	2126
93	218	2108
94	219	2090
95	220	2073
96	220	2056
97	221	2040
98	222	2025
99	223	2009
100	224	1994
101	224	1980
102	225	1964
103	226	1950
104	227	1936
105	227	1921
106	228	1908
107	229	1894
108	230	1881
109	230	1868
110	231	1855
111	232	1842
112	233	1829
113	233	1817
114	234	1805
115	235	1793
116	236	1781
117	236	1770
118	237	1759
119	238	1749
120	239	1737
121	239	1726
122	240	1716
123	241	1705
124	242	1695
125	243	1685
126	243	1674
127	244	1664
128	245	1654
129	245	1644
130	246	1634
131	247	1625
132	247	1615
133	248	1605
134	249	1596
135	249	1588
136	250	1578
137	251	1571
138	252	1564
139	253	1556
140	253	1547
141	254	1537
142	255	1529
143	256	1521
144	256	1513
145	257	1506
146	258	1498
147	258	1490
148	259	1483
149	260	1475
150	261	1468
151	261	1460
152	262	1453
153	263	1445
154	263	1438
155	264	1431
156	265	1424
157	266	1418
158	267	1412
159	267	1406
160	268	1398
161	269	1391
162	269	1385
163	270	1379
164	271	1373
165	272	1366
166	272	1360
167	273	1354
168	274	1348
169	275	1342
170	275	1336
171	276	1330
172	277	1324
173	277	1318
174	278	1313
175	279	1307
176	279	1301
177	280	1296
178	281	1291
179	282	1286
180	283	1281
181	283	1275
182	284	1270
183	285	1265
184	286	1260
185	286	1255
186	287	1250
187	288	1245
188	289	1240
189	290	1236
190	290	1231
191	291	1226
192	292	1221
193	292	1216
194	293	1211
195	294	1207
196	295	1202
197	295	1198
198	296	1194
199	297	1189
200	298	1185
201	298	1180
202	299	1176
203	300	1172
204	301	1167
205	301	1163
206	302	1159
207	303	1155
208	304	1151
209	304	1146
210	305	1142
211	306	1138
212	307	1134
213	307	1130
214	308	1126
215	309	1123
216	310	1119
217	311	1116
218	311	1112
219	312	1108
220	313	1104
221	314	1101
222	315	1098
223	315	1094
224	316	1090
225	317	1086
226	318	1083
227	318	1079
228	319	1076
229	320	1072
230	320	1068
231	321	1064
232	322	1060
233	323	1057
234	323	1054
235	324	1050
236	325	1047
237	326	1044
238	327	1041
239	327	1038
240	328	1035
241	329	1032
242	330	1028
243	331	1025
244	331	1022
245	332	1019
246	333	1016
247	333	1012
248	334	1009
249	335	1006
250	336	1003
251	336	999
252	337	996
253	338	993
254	338	990
255	339	986
256	340	984
257	341	981
258	342	979
259	342	976
260	343	972
261	344	970
262	345	967
263	345	963
264	346	960
265	347	957
266	347	954
267	348	951
268	349	948
269	349	945
270	350	942
271	351	940
272	352	937
273	352	934
274	353	931
275	354	928
276	354	926
277	355	923
278	356	921
279	357	918
280	357	915
281	358	913
282	359	910
283	360	907
284	360	905
285	361	902
286	362	900
287	363	897
288	363	894
289	364	892
290	365	889
291	366	887
292	366	885
293	367	882
294	368	880
295	369	877
296	370	875
297	371	873
298	371	871
299	372	869
300	373	867
301	374	865
302	375	863
303	375	860
304	376	858
305	377	856
306	378	853
307	378	851
308	379	849
309	380	846
310	381	844
311	381	842
312	382	839
313	383	837
314	384	835
315	384	832
316	385	830
317	386	828
318	387	826
319	387	824
320	388	822
321	389	820
322	390	818
323	391	816
324	392	814
325	392	812
326	393	810
327	394	809
328	395	807
329	396	805
330	397	803
331	398	801
332	399	799
333	400	797
334	401	796
335	401	794
336	402	792
337	403	789
338	404	787
339	404	785
340	405	783
341	406	781
342	407	779
343	407	777
344	408	776
345	409	774
346	410	771
347	410	769
348	411	767
349	412	765
350	412	763
351	413	760
352	414	758
353	414	757
354	415	755
355	416	754
356	417	752
357	418	750
358	419	748
359	419	746
360	420	744
361	421	742
362	421	740
363	422	738
364	423	736
365	424	734
366	424	732
367	425	731
368	426	729
369	427	727
370	427	725
371	428	723
372	429	721
373	430	720
374	431	719
375	432	717
376	432	715
377	433	713
378	434	711
379	435	709
380	435	708
381	436	706
382	437	704
383	438	702
384	438	700
385	439	699
386	440	697
387	440	695
388	441	693
389	442	691
390	443	690
391	443	688
392	444	686
393	445	685
394	446	683
395	446	681
396	447	680
397	448	678
398	449	676
399	449	674
400	450	673
401	451	671
402	452	669
403	452	668
404	453	666
