iter	Passed	Remaining
0	137	137160
1	138	68921
2	138	46120
3	139	34715
4	140	27871
5	140	23303
6	141	20041
7	142	17608
8	142	15704
9	143	14178
10	143	12931
11	144	11891
12	145	11012
13	145	10256
14	146	9604
15	146	9037
16	147	8540
17	148	8099
18	149	7702
19	150	7351
20	150	7030
21	151	6734
22	152	6467
23	153	6223
24	153	5999
25	154	5792
26	155	5599
27	156	5418
28	156	5251
29	157	5094
30	158	4947
31	158	4809
32	159	4680
33	160	4559
34	161	4445
35	161	4336
36	162	4236
37	163	4142
38	164	4049
39	165	3960
40	165	3876
41	166	3798
42	167	3721
43	167	3649
44	168	3580
45	169	3514
46	170	3450
47	170	3387
48	171	3328
49	172	3271
50	172	3217
51	173	3165
52	174	3116
53	175	3067
54	175	3020
55	176	2975
56	177	2930
57	177	2890
58	178	2850
59	179	2810
60	180	2771
61	180	2734
62	181	2699
63	182	2664
64	182	2631
65	183	2598
66	184	2567
67	184	2533
68	185	2503
69	186	2474
70	186	2446
71	187	2420
72	188	2393
73	189	2368
74	189	2342
75	190	2317
76	191	2295
77	192	2272
78	192	2249
79	193	2226
80	194	2204
81	195	2183
82	195	2163
83	196	2143
84	197	2121
85	197	2102
86	198	2082
87	199	2063
88	199	2044
89	200	2025
90	201	2008
91	201	1991
92	202	1974
93	203	1958
94	203	1942
95	204	1926
96	205	1911
97	206	1896
98	206	1883
99	208	1872
100	208	1859
101	209	1842
102	210	1829
103	210	1816
104	211	1804
105	212	1790
106	213	1777
107	213	1764
108	214	1752
109	214	1739
110	215	1726
111	216	1714
112	216	1702
113	217	1690
114	218	1678
115	218	1667
116	219	1656
117	220	1645
118	220	1633
119	221	1622
120	221	1612
121	222	1602
122	222	1589
123	223	1580
124	224	1570
125	225	1561
126	225	1551
127	226	1540
128	226	1531
129	227	1522
130	228	1513
131	228	1504
132	229	1495
133	230	1487
134	230	1478
135	231	1469
136	231	1461
137	232	1452
138	233	1445
139	234	1438
140	234	1431
141	235	1423
142	236	1416
143	236	1408
144	237	1401
145	238	1394
146	239	1387
147	239	1380
148	240	1373
149	241	1366
150	241	1359
151	242	1353
152	243	1346
153	243	1340
154	244	1333
155	245	1327
156	246	1321
157	246	1315
158	247	1309
159	248	1302
160	248	1296
161	249	1290
162	250	1284
163	251	1279
164	251	1274
165	252	1268
166	253	1262
167	253	1257
168	254	1252
169	255	1246
170	256	1241
171	256	1236
172	257	1231
173	258	1225
174	258	1220
175	259	1215
176	260	1210
177	260	1205
178	261	1200
179	262	1194
180	262	1188
181	263	1183
182	264	1179
183	264	1174
184	265	1169
185	266	1165
186	266	1160
187	267	1156
188	268	1151
189	269	1147
190	269	1142
191	270	1138
192	271	1133
193	271	1129
194	272	1125
195	273	1121
196	274	1117
197	274	1112
198	275	1108
199	276	1104
200	276	1100
201	277	1096
202	278	1092
203	278	1088
204	279	1084
205	280	1080
206	280	1075
207	281	1072
208	282	1068
209	282	1064
210	283	1060
211	284	1056
212	284	1052
213	285	1048
214	286	1044
215	286	1040
216	287	1037
217	288	1033
218	288	1029
219	289	1026
220	290	1023
221	291	1020
222	291	1016
223	292	1013
224	293	1009
225	293	1006
226	294	1002
227	295	999
228	295	996
229	296	992
230	297	989
231	297	986
232	298	983
233	299	979
234	300	976
235	300	973
236	301	970
237	302	966
238	302	963
239	303	960
240	304	957
241	304	954
242	305	951
243	306	948
244	307	946
245	307	943
246	308	940
247	309	937
248	309	934
249	310	931
250	311	928
251	311	925
252	312	922
253	313	919
254	314	917
255	314	914
256	315	912
257	316	909
258	316	906
259	317	903
260	318	901
261	319	898
262	319	896
263	320	893
264	321	890
265	321	888
266	322	885
267	323	883
268	324	880
269	324	878
270	325	875
271	326	873
272	326	870
273	327	868
274	328	865
275	329	863
276	329	860
277	330	858
278	331	856
279	332	854
280	332	851
281	333	849
282	334	846
283	334	844
284	335	841
285	336	839
286	336	836
287	337	834
288	338	832
289	339	830
290	339	828
291	340	825
292	341	823
293	341	821
294	342	818
295	343	816
296	344	814
297	344	811
298	345	809
299	345	807
300	346	805
301	347	803
302	348	801
303	349	799
304	349	796
305	350	794
306	351	792
307	351	790
308	352	788
309	353	786
310	353	784
311	354	782
312	355	780
313	356	777
314	356	775
315	357	773
316	358	771
317	358	769
318	359	767
319	360	765
320	360	763
321	361	761
322	362	759
323	363	757
324	363	755
325	364	753
326	365	751
327	366	750
328	366	748
329	367	746
330	368	744
331	369	742
332	369	740
333	370	738
334	371	736
335	371	734
336	372	733
337	373	731
338	374	729
339	375	727
340	375	726
341	376	724
342	377	722
343	377	720
344	378	718
345	379	716
346	379	714
347	380	712
348	381	710
349	381	709
350	382	707
351	383	705
352	383	703
353	384	701
354	385	699
355	385	697
356	386	696
357	387	694
358	388	692
359	388	691
360	389	689
361	390	688
362	391	686
363	392	685
364	393	683
365	394	682
366	394	680
367	395	679
368	396	677
369	397	676
370	398	674
371	398	673
372	399	671
373	400	670
374	401	668
375	402	667
376	402	665
377	403	663
378	404	662
379	404	660
380	405	659
381	406	657
382	407	655
383	407	654
384	408	652
385	409	650
386	409	649
387	410	647
388	411	646
389	412	644
390	412	643
391	413	641
392	414	639
393	415	638
394	415	636
395	416	635
396	417	633
397	417	632
398	418	630
399	419	629
400	420	627
401	421	626
402	421	624
403	422	623
404	423	621
405	423	620
406	424	618
407	425	617
408	426	615
409	426	614
410	427	612
411	428	611
412	429	609
413	429	608
414	430	606
415	431	605
416	431	603
417	432	602
418	433	600
419	433	599
420	434	597
421	435	596
422	435	594
423	436	593
424	437	591
425	437	590
426	438	588
427	439	587
428	440	585
429	440	584
430	441	582
431	442	581
432	442	580
433	443	578
434	444	577
435	444	575
436	445	574
